event_id,system_id,timestamp,os_name,os_version,cpu_model,cpu_cores_physical,cpu_threads,cpu_clock_base_ghz,cpu_usage_pct,ram_total_gb,ram_usage_pct,gpu_model,gpu_vram_total_gb,gpu_vram_usage_pct,storage_primary_type,storage_free_gb,display_resolution,system_overall_score
a8205c8a-1501-4d20-8dc2-8e1ae085a3ad,24aeb122-90af-4abf-9187-b6be9dd40202,2026-09-10T23:45:12.017918Z,Windows 11,22H2,Intel Core i5-14399F,10,16,3.1,81.91,8,58.89,AMD Radeon Vega 8,0.0,0.0,HDD,169.49,1920x1080,3.36
55c4a033-bc73-4a63-919f-52be6a59f892,b1d5de40-2e2d-4108-9292-5ac7475e2b31,2026-09-19T07:11:28.017918Z,Windows 10,22H2,AMD Ryzen 5 4200X3D,6,12,3.5,42.3,16,65.24,AMD Radeon RX 6700 XT,12.0,33.11,SATA SSD,821.62,1920x1080,6.98
08ddd1c9-a849-4f44-8901-87aa8d6ad787,1bb796f5-5c47-46ab-8efd-1db04c379655,2026-09-04T21:11:57.017918Z,Windows 11,22H2,AMD Ryzen 7 3200,8,16,3.8,95.57,8,60.74,NVIDIA GeForce RTX 3050,12.0,34.76,NVMe SSD,295.81,1366x768,6.64
be1d4c44-9b4d-4064-b644-823521f8f2dd,6b6b9f91-b82a-4955-ac35-593a3ec8eb86,2026-09-09T01:21:46.017918Z,Windows 10,22H2,Intel Core i3-14108F,4,4,3.8,42.52,8,23.99,NVIDIA GeForce GTX 1650,3.0,43.73,NVMe SSD,511.59,1366x768,3.99
298f1367-2a53-4a5e-a4fd-d09ab2751d7b,5d7589bd-2e88-464d-a019-0cff6b3c963b,2026-09-17T18:36:02.017918Z,Windows 10,22H2,Intel Core i7-12886F,8,16,3.4,24.44,16,78.07,AMD Radeon Vega 8,0.0,0.0,HDD,939.94,1920x1080,3.97
845f9e30-039b-498d-8d8e-1f95f881a5da,c12da113-66ef-4674-adae-c9dc496474e2,2026-08-28T05:27:51.017918Z,Windows 10,22H2,Intel Core i5-9227,10,16,2.6,41.88,12,38.3,NVIDIA GeForce RTX 3060,6.0,79.09,NVMe SSD,723.2,1366x768,6.0
b3b56a0f-b2c9-4cd2-9c6e-dc628c64a36b,a6992cf4-d94a-4a14-a7c4-218a07695180,2026-08-25T07:28:33.017918Z,Windows 10,22H2,Intel Core i7-13323K,12,20,3.6,79.3,8,51.09,AMD Radeon Vega 7,0.0,0.0,NVMe SSD,448.03,1920x1080,4.86
74048eac-5307-46d2-ae9c-1290e0025eac,20753a92-a2e3-454e-ae50-2b75eb38869e,2026-08-25T22:52:36.017918Z,Windows 10,22H2,AMD Ryzen 5 4600X,6,12,3.6,43.3,16,85.05,AMD Radeon RX 6700,8.0,66.52,NVMe SSD,508.82,1920x1080,6.4
2d1a3321-6c13-44b2-a1e4-e44387c3e07c,37b2ec1f-448e-4287-b89b-29f19810f773,2026-09-22T11:34:31.017918Z,Windows 11,22H2,Intel Core i5-13895,6,12,2.5,45.88,24,79.24,AMD Radeon RX 6700,8.0,15.28,NVMe SSD,545.57,1920x1080,6.75
04da9647-fce7-41e2-a5e6-35e642ed0076,15fbbd9d-fd54-4415-af2e-19d09e0f60b8,2026-09-15T19:25:25.017918Z,Ubuntu Linux,22.04 LTS,Intel Core i5-10380F,6,12,2.6,98.0,8,31.04,AMD Radeon Vega 7,0.0,0.0,NVMe SSD,509.45,3840x2160,2.92
5bf37c55-fda8-4aeb-9ab6-7bfe0a2339e5,312239df-dbbc-40c0-af54-04d89e6bdf5b,2026-08-25T23:23:52.017918Z,Windows 10,22H2,AMD Ryzen 5 4600G,6,12,3.6,13.75,16,57.08,None,0.0,0.0,SATA SSD,306.55,1920x1080,4.0
eead104f-0585-41ca-af93-a6abbe56478e,c8c38896-7a74-4859-9e0e-0a370d83914d,2026-09-03T19:07:03.017918Z,Windows 11,22H2,Intel Core i5-10819,10,16,2.8,39.93,16,69.79,None,0.0,0.0,SATA SSD,52.12,1920x1080,4.07
8b70eba6-d536-4c84-ab86-e02b912b0f30,755580c3-4dac-4869-bc3b-8b29788232b1,2026-08-29T14:55:47.017918Z,Windows 11,22H2,Intel Core i5-13599F,10,16,2.9,17.69,16,44.11,AMD Radeon RX 7600,8.0,78.08,SATA SSD,351.55,1366x768,6.49
6ca06b30-2bb4-4a53-93d1-86fe0a790f80,830fb172-7a60-4a2a-8b06-b1b6c59bc393,2026-09-17T14:07:20.017918Z,Windows 11,22H2,Intel Core i5-14194,6,12,3.4,94.9,16,84.36,NVIDIA GeForce RTX 3060,8.0,63.57,NVMe SSD,707.2,1920x1080,5.75
a98e986f-2bf5-4851-8b41-6244a6fe9a15,bea75ebc-5259-4cdc-81b0-150f1f70fc63,2026-09-19T07:27:21.017918Z,Windows 10,22H2,AMD Ryzen 7 5400X,8,16,3.8,7.64,8,28.93,NVIDIA GeForce RTX 4060,12.0,65.76,NVMe SSD,611.43,1920x1080,7.24
207cf0aa-50d2-43e8-a731-37f3d83189ed,b87e3759-59eb-4467-be71-0e0e7d7874fb,2026-09-01T10:28:39.017918Z,Windows 10,22H2,Intel Core i5-10409,6,12,2.5,19.42,16,17.91,AMD Radeon RX 6700 XT,4.0,9.56,HDD,940.02,1366x768,4.32
b8841885-aef0-4562-9e30-82dff5cb7f10,67c29234-e0e7-468a-a3d9-9fb3d1af47df,2026-09-10T17:49:56.017918Z,Windows 10,22H2,Intel Core i7-13847F,8,16,3.5,9.5,8,48.27,NVIDIA GeForce RTX 3060,8.0,94.56,NVMe SSD,127.31,1920x1080,5.92
88433680-9a6a-4ee6-bec3-43311ab91ae9,81a095cc-ccd1-45a4-ad24-616ad5bf18a8,2026-09-11T03:14:42.017918Z,Windows 10,22H2,Intel Core i5-13200,6,12,3.0,97.64,4,45.04,NVIDIA GeForce RTX 2060,12.0,72.52,Hybrid SSHD,166.57,1920x1080,4.95
a1c12bf4-ae49-40ae-8bc6-298c95810d2d,1958ee44-aa0c-4bad-b444-ff74daafc1c5,2026-08-27T20:54:30.017918Z,Windows 10,22H2,Intel Core i3-11677F,4,8,3.2,40.31,16,87.37,Intel HD Graphics 620,0.0,0.0,NVMe SSD,797.52,1366x768,3.88
